,endTime,year,month,day,hour,artist,album,track,genres,minutesPlayed,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
1074,2021-07-01 18:50:00,2021,7,1,18,Boys Like Girls,Boys Like Girls,The Great Escape,"['neo mellow', 'neon pop punk', 'pop punk', 'pop rock', 'post-teen pop']",0.91,56Tl3UgyZTqfZtvFNS31wm,0.423,0.94,1,-4.012,0,0.0635,0.00166,0.0,0.178,0.505,149.934
1075,2021-07-01 22:58:00,2021,7,1,22,Boys Like Girls,Boys Like Girls,The Great Escape,"['neo mellow', 'neon pop punk', 'pop punk', 'pop rock', 'post-teen pop']",3.43,56Tl3UgyZTqfZtvFNS31wm,0.423,0.94,1,-4.012,0,0.0635,0.00166,0.0,0.178,0.505,149.934
1076,2021-07-12 22:58:00,2021,7,12,22,Pedro Vargas,"Pedro Vargas, Vol. 1",Pien canela (me importas tu y tu y tu) - Digitally Remastered,"['bolero', 'bolero mexicano', 'mariachi', 'ranchera']",1.32,6dKv1RguDp08PeLcghw7Sz,0.488,0.377,7,-8.6,1,0.0343,0.887,0.0,0.231,0.823,128.634
1077,2021-08-13 16:32:00,2021,8,13,16,Pedro Vargas,"Pedro Vargas, Vol. 1",Pien canela (me importas tu y tu y tu) - Digitally Remastered,"['bolero', 'bolero mexicano', 'mariachi', 'ranchera']",0.96,6dKv1RguDp08PeLcghw7Sz,0.488,0.377,7,-8.6,1,0.0343,0.887,0.0,0.231,0.823,128.634
1078,2021-09-07 18:10:00,2021,9,7,18,Pedro Vargas,"Pedro Vargas, Vol. 1",Pien canela (me importas tu y tu y tu) - Digitally Remastered,"['bolero', 'bolero mexicano', 'mariachi', 'ranchera']",0.02,6dKv1RguDp08PeLcghw7Sz,0.488,0.377,7,-8.6,1,0.0343,0.887,0.0,0.231,0.823,128.634
1079,2021-09-07 18:11:00,2021,9,7,18,Pedro Vargas,"Pedro Vargas, Vol. 1",Pien canela (me importas tu y tu y tu) - Digitally Remastered,"['bolero', 'bolero mexicano', 'mariachi', 'ranchera']",1.32,6dKv1RguDp08PeLcghw7Sz,0.488,0.377,7,-8.6,1,0.0343,0.887,0.0,0.231,0.823,128.634
1080,2021-07-13 12:17:00,2021,7,13,12,The Black Keys,El Camino,Lonely Boy,"['alternative rock', 'blues rock', 'garage rock', 'modern blues rock', 'modern rock', 'punk blues', 'rock', 'roots rock']",0.13,5G1sTBGbZT5o4PNRc75RKI,0.356,0.872,2,-7.837,1,0.068,0.00417,0.00975,0.0997,0.607,166.3
1081,2021-07-23 18:40:00,2021,7,23,18,The Black Keys,El Camino,Lonely Boy,"['alternative rock', 'blues rock', 'garage rock', 'modern blues rock', 'modern rock', 'punk blues', 'rock', 'roots rock']",2.04,5G1sTBGbZT5o4PNRc75RKI,0.356,0.872,2,-7.837,1,0.068,0.00417,0.00975,0.0997,0.607,166.3
1082,2021-07-22 14:51:00,2021,7,22,14,Canserbero,Guía Para la Acción,El Mundo ya Se Acabó,"['boom bap espanol', 'rap conciencia', 'venezuelan hip hop']",3.62,7DMePP45IaGHRVFYDmmhqU,0.605,0.847,1,-1.593,1,0.334,0.12,0.0,0.323,0.683,93.305
1083,2021-07-26 15:43:00,2021,7,26,15,Canserbero,Guía Para la Acción,El Mundo ya Se Acabó,"['boom bap espanol', 'rap conciencia', 'venezuelan hip hop']",3.63,7DMePP45IaGHRVFYDmmhqU,0.605,0.847,1,-1.593,1,0.334,0.12,0.0,0.323,0.683,93.305
